row_id,language,batch_id,status,fail_reason,intent,input_preview,jsonl_line,created_at
1,ar,,kept,,empathetic,بصراحة ما أعتقد إني بقدر أخلص التقرير قبل بكرة الصبح,1,2026-08-23T22:53:05Z
2,ar,,kept,,positive_ack,أبي يبي يغير الكنبة في الصالة,2,2026-08-23T22:53:05Z
3,ar,,kept,,empathetic,بس المشكلة إن البيت صار زحمة مرة,3,2026-08-23T22:53:05Z
4,ar,,kept,,agreeing,ممكن نقترح عليه نبيع القديمة أول,4,2026-08-23T22:53:05Z
5,ar,,kept,,thinking,أحس البيت يحتاج رينوفيشين كامل,5,2026-08-23T22:53:05Z
6,ar,,kept,,empathetic,ودنا نسوي مودرن ستايل بس الميزانية محدودة,6,2026-08-23T22:53:05Z
7,ar,,kept,,encouraging,ممكن نركز على الإضاءة والبيج والألوان الفاتحة,7,2026-08-23T22:53:05Z
8,ar,,kept,,thinking,هل تعتقد أن هذا سيضفي طابعاً عصرياً على المنزل؟,8,2026-08-23T22:53:05Z
9,ar,,kept,,agreeing,أظن أن توزيع الأثاث يحتاج إلى إعادة نظر دقيقة,9,2026-08-23T22:53:05Z
10,ar,,kept,,positive_ack,أريد تنظيم جدول للمهام المنزلية مع إخوتي,10,2026-08-23T22:53:05Z
11,ar,,kept,,empathetic,بس هم ما يحبون يلتزمون بشيء,11,2026-08-23T22:53:05Z
12,ar,,kept,,thinking,كيف ممكن أقنعهم بدون مشاكل؟,12,2026-08-23T22:53:05Z
13,ar,,kept,,positive_ack,أحتاج أسوي ديسك سبيس في غرفتي للدراسة,13,2026-08-23T22:53:05Z
14,ar,,kept,,agreeing,المساحة صغيرة بس أبغى شي يكون مينيمالست,14,2026-08-23T22:53:05Z
15,ar,,kept,,positive_ack,أعتقد أن المكتب الأبيض هو الخيار الأفضل,15,2026-08-23T22:53:05Z
16,ar,,kept,,impatient,ليش لسه ما اشتغل النت؟,16,2026-08-23T22:53:05Z
17,ar,,kept,,negative_ack,بس أنا قلت لك إني جربت هذا الحل قبل,17,2026-08-23T22:53:05Z
18,ar,,kept,,skeptical,هذا الكلام مو منطقي أبداً,18,2026-08-23T22:53:05Z
19,ar,,kept,,thinking,البرنامج بيعلق كل ما أفتح ملف كبير,19,2026-08-23T22:53:05Z
20,ar,,kept,,impatient,ترا صار لي ساعة أحاول أدخل على حسابي,20,2026-08-23T22:53:05Z
21,ar,,kept,,surprised,كيف يعني النظام مو متوافق مع جهازي؟,21,2026-08-23T22:53:05Z
22,ar,,kept,,skeptical,ما أظن إن المشكلة من السلك,22,2026-08-23T22:53:05Z
23,ar,,kept,,impatient,يا أخي خلاص تعبت من كثر ما أعيد التشغيل,23,2026-08-23T22:53:05Z
24,ar,,kept,,negative_ack,ما وصلني أي إيميل تفعيل,24,2026-08-23T22:53:05Z
25,ar,,kept,,negative_ack,أنا مو خبير تقني عشان أفهم هالكلام,25,2026-08-23T22:53:05Z
26,ar,,kept,,surprised,ليش التحديث أخذ كل مساحة الجهاز؟,26,2026-08-23T22:53:05Z
27,ar,,kept,,skeptical,أحس إن الجهاز صار بطيء أكثر من أول,27,2026-08-23T22:53:05Z
28,ar,,kept,,negative_ack,الخدمة سيئة جداً وما استفدت شي,28,2026-08-23T22:53:05Z
29,ar,,kept,,empathetic,أريد استعادة أموالي الآن,29,2026-08-23T22:53:05Z
30,ar,,kept,,thinking,ليش المبلغ لسه ما وصل؟,30,2026-08-23T22:53:05Z
31,ar,,kept,,surprised,يا الله! المبلغ رجع دبل!,31,2026-08-23T22:53:05Z
32,ar,,kept,,hesitating,هل يمكنني الحصول على استثناء؟,32,2026-08-23T22:53:05Z
33,ar,,kept,,empathetic,هذا غير مقبول أبداً,33,2026-08-23T22:53:05Z
34,ar,,kept,,positive_ack,أوه، شكراً جزيلاً لكم!,34,2026-08-23T22:53:05Z
35,ar,,kept,,thinking,ماذا أفعل الآن؟,35,2026-08-23T22:53:05Z
36,ar,,kept,,surprised,مش معقول السعر نزل بعد ما شريت!,36,2026-08-23T22:53:05Z
37,ar,,kept,,thinking,ممكن تشرح لي هذه الرسوم؟,37,2026-08-23T22:53:05Z
38,ar,,kept,,empathetic,أنا محتاج الفلوس ضروري اليوم,38,2026-08-23T22:53:05Z
39,ar,,kept,,thinking,أعتقد أن هناك خطأ في الحساب,39,2026-08-23T22:53:05Z
40,ar,,kept,,excited,واو! استرجاع فوري؟,40,2026-08-23T22:53:05Z
41,ar,,kept,,clarifying_question,لكنكم قلتم أن العملية مجانية,41,2026-08-23T22:53:05Z
42,ar,,kept,,positive_ack,تمام، سأنتظر الإيميل,42,2026-08-23T22:53:05Z
43,ar,,kept,,apologetic,يعني ما في أي موعد متاح بكرة؟,43,2026-08-23T22:53:05Z
44,ar,,kept,,empathetic,حاسة بألم شديد في ظهري وما أقدر أنام,44,2026-08-23T22:53:05Z
45,ar,,kept,,calming,أنا حاولت أتصل بالعيادة عشر مرات وما أحد رد!,45,2026-08-23T22:53:05Z
46,ar,,kept,,thinking,هل هذا الدواء يسبب النعاس؟,46,2026-08-23T22:53:05Z
47,ar,,kept,,sad_acknowledge,توفيت جدتي أمس وأنا منهارة تماماً,47,2026-08-23T22:53:05Z
48,ar,,kept,,calming,أبغى أسوي check-up كامل بس خايفة من الإبر,48,2026-08-23T22:53:05Z
49,ar,,kept,,apologetic,يا أخي قلت لك الموعد الساعة ٤ مو ٥!,49,2026-08-23T22:53:05Z
50,ar,,kept,,thinking,ممكن تقولي إيش هي الـ side effects لهذا العلاج؟,50,2026-08-23T22:53:05Z
51,ar,,kept,,calming,أشعر بضيق تنفس مفاجئ الآن,51,2026-08-23T22:53:05Z
52,ar,,kept,,clarifying_question,ما فهمت ليش لازم أسوي تحليل دم مرة ثانية؟,52,2026-08-23T22:53:05Z
53,ar,,kept,,empathetic,أنا مريض سكر ولازم ألتزم بالدايت بس صعب جداً,53,2026-08-23T22:53:05Z
54,ar,,kept,,thinking,ممكن نغير الموعد لـ Monday الجاي؟,54,2026-08-23T22:53:05Z
55,ar,,kept,,positive_ack,أرجو من سيادتكم مراجعة التقرير الطبي المرفق,55,2026-08-23T22:53:05Z
56,ar,,kept,,calming,الضغط عندي مرتفع جداً وأحس بدوخة,56,2026-08-23T22:53:05Z
57,ar,,kept,,thinking,أبي أحجز تذكرة للندن,57,2026-08-23T22:53:05Z
58,ar,,kept,,no_filler,بس تكون الرحلة مباشرة بدون توقف,58,2026-08-23T22:53:05Z
59,ar,,kept,,thinking,ممكن تقترح لي فنادق في وسط المدينة؟,59,2026-08-23T22:53:05Z
60,ar,,kept,,thinking,أبغى شي يكون سعره معقول ومناسب,60,2026-08-23T22:53:05Z
61,ar,,kept,,negative_ack,لا، مو هذا اللي قصدته,61,2026-08-23T22:53:05Z
62,ar,,kept,,thinking,هل تتوقع الجو بيكون بارد في ديسمبر؟,62,2026-08-23T22:53:05Z
63,ar,,kept,,thinking,طيب والملابس وش تنصحني آخذ؟,63,2026-08-23T22:53:05Z
64,ar,,kept,,no_filler,أريد معرفة المتطلبات الحالية للتأشيرة السياحية,64,2026-08-23T22:53:05Z
65,ar,,kept,,thinking,هل يمكنني التقديم إلكترونياً؟,65,2026-08-23T22:53:05Z
66,ar,,kept,,empathetic,أوكي، بس خايف تتأخر الموافقة,66,2026-08-23T22:53:05Z
67,ar,,kept,,thinking,أبغى أرتب جدول سياحي لـ خمس أيام,67,2026-08-23T22:53:05Z
68,ar,,kept,,no_filler,أهم شي تكون الأماكن تاريخية,68,2026-08-23T22:53:05Z
69,ar,,kept,,thinking,وممكن تضيف مطاعم شعبية؟,69,2026-08-23T22:53:05Z
70,ar,,kept,,thinking,هل الرحلة متعبة للأطفال؟,70,2026-08-23T22:53:05Z
71,ar,,kept,,thinking,كيف أقدر أخفف من تعبهم؟,71,2026-08-23T22:53:05Z
72,ar,,kept,,thinking,ممكن تغير عنوان التوصيل؟,72,2026-08-23T22:53:05Z
73,ar,,kept,,thinking,والشحن مجاني لو طلبت فوق مية ريال؟,73,2026-08-23T22:53:05Z
74,ar,,kept,,empathetic,طيب، بس ليش التأخير صار أسبوع؟,74,2026-08-23T22:53:05Z
75,ar,,kept,,encouraging,أبغى أسوي ريفيو للمنتج بس ما عرفت وين,75,2026-08-23T22:53:05Z
76,ar,,kept,,thinking,هل يتوفر دفع عند الاستلام؟,76,2026-08-23T22:53:05Z
77,ar,,kept,,agreeing,لا، أبغى أغير اللون للأزرق,77,2026-08-23T22:53:05Z
78,ar,,kept,,apologetic,شفت عرض الخصم بس الكود ما اشتغل,78,2026-08-23T22:53:05Z
79,ar,,kept,,positive_ack,أبغى أطلب ديلفري الحين,79,2026-08-23T22:53:05Z
80,ar,,kept,,agreeing,ممكن تسرعوا عملية الشحن لو سمحتوا؟,80,2026-08-23T22:53:05Z
81,ar,,kept,,sad_acknowledge,ترا التغليف كان سيء جداً,81,2026-08-23T22:53:05Z
82,ar,,kept,,positive_ack,أوكي، خلاص اعتمد الطلب,82,2026-08-23T22:53:05Z
83,ar,,kept,,thinking,كيف أقدر أتبع الشحنة؟,83,2026-08-23T22:53:05Z
84,ar,,kept,,clarifying_question,بس السعر طلع أغلى من الموقع,84,2026-08-23T22:53:05Z
85,ar,,kept,,empathetic,أبغا أرجع القطعة لأن المقاس صغير,85,2026-08-23T22:53:05Z
86,ar,,kept,,thinking,هل عندكم توصيل سريع لنفس اليوم؟,86,2026-08-23T22:53:05Z
87,ar,,kept,,thinking,بدي مطعم إيطالي يكون هادي,87,2026-08-23T22:53:05Z
88,ar,,kept,,thinking,هل لديكم قائمة طعام نباتية مفصلة؟,88,2026-08-23T22:53:05Z
89,ar,,kept,,thinking,شو في عندكم ديسير مميز اليوم؟,89,2026-08-23T22:53:05Z
90,ar,,kept,,hesitating,ما بعرف، يمكن البيتزا بس,90,2026-08-23T22:53:05Z
91,ar,,kept,,thinking,بس يكون السعر معقول، ما بدي شي غالي كتير,91,2026-08-23T22:53:05Z
92,ar,,kept,,thinking,أريد تغيير الطلب، هل يمكن ذلك؟,92,2026-08-23T22:53:05Z
93,ar,,kept,,thinking,ليش التأخير صارله ساعة؟,93,2026-08-23T22:53:05Z
94,ar,,kept,,positive_ack,بدي شي سبايسي كتير,94,2026-08-23T22:53:05Z
95,ar,,kept,,thinking,ممكن تحجز لي طاولة لست أشخاص الساعة تسعة؟,95,2026-08-23T22:53:05Z
96,ar,,kept,,thinking,أنا ما بحب الكزبرة، ممكن تشيلوها؟,96,2026-08-23T22:53:05Z
97,ar,,kept,,clarifying_question,يعني وين بالضبط المطعم؟,97,2026-08-23T22:53:05Z
98,ar,,kept,,thinking,ممكن تطلع لي المطاعم اللي عندها اوفر حالياً؟,98,2026-08-23T22:53:05Z
99,ar,,kept,,thinking,هل يوجد مواقف للسيارات بالقرب من المطعم؟,99,2026-08-23T22:53:05Z
100,ar,,kept,,empathetic,ليش كل مرة يتأخر الطلب؟,100,2026-08-23T22:53:05Z
101,ar,,kept,,negative_ack,بس أنا دفعت المبلغ كامل!,101,2026-08-23T22:53:06Z
102,ar,,kept,,thinking,ما بدي حلول مؤقتة، بدي استرجاع فلوسي.,102,2026-08-23T22:53:06Z
103,ar,,kept,,apologetic,مو معقول هذا التأخير، صار لي ساعة أنتظر.,103,2026-08-23T22:53:06Z
104,ar,,kept,,empathetic,هذا التحديث خرب كل شي في الأبليكيشن.,104,2026-08-23T22:53:06Z
105,ar,,kept,,skeptical,طيب والضمان وين راح؟,105,2026-08-23T22:53:06Z
106,ar,,kept,,apologetic,أنا قلت لكم ألف مرة إن العنوان غلط!,106,2026-08-23T22:53:06Z
107,ar,,kept,,empathetic,ما في أي استجابة من خدمة العملاء.,107,2026-08-23T22:53:06Z
108,ar,,kept,,thinking,ليش السعر زاد فجأة؟,108,2026-08-23T22:53:06Z
109,ar,,kept,,sad_acknowledge,هذا أسوأ تعامل شفته بحياتي.,109,2026-08-23T22:53:06Z
110,ar,,kept,,thinking,يعني الحين وش الحل؟,110,2026-08-23T22:53:06Z
111,ar,,kept,,negative_ack,أنا مو مستعد أنتظر أسبوع ثاني.,111,2026-08-23T22:53:06Z
112,ar,,kept,,positive_ack,كان الجو رائعاً جداً أمس في الرياض,112,2026-08-23T22:53:06Z
113,ar,,kept,,surprised,تخيل أنني وجدت قطة صغيرة في الشارع!,113,2026-08-23T22:53:06Z
114,ar,,kept,,empathetic,أشعر ببعض التعب من العمل اليوم,114,2026-08-23T22:53:06Z
115,ar,,kept,,agreeing,لا أصدق أن الرحلة انتهت بهذه السرعة,115,2026-08-23T22:53:06Z
116,ar,,kept,,excited,لقد فزت بالجائزة الأولى في المسابقة!,116,2026-08-23T22:53:06Z
117,ar,,kept,,positive_ack,أظن أنني سأبدأ بتعلم اللغة الإسبانية,117,2026-08-23T22:53:06Z
118,ar,,kept,,empathetic,أنا حزين لأن صديقي سيسافر غداً,118,2026-08-23T22:53:06Z
119,ar,,kept,,thinking,هل تعتقد أن المطر سيسقط اليوم؟,119,2026-08-23T22:53:06Z
120,ar,,kept,,negative_ack,لقد كانت القهوة مرة جداً هذا الصباح,120,2026-08-23T22:53:06Z
121,ar,,kept,,excited,سأقوم بزيارة مكة في العطلة القادمة,121,2026-08-23T22:53:06Z
122,ar,,kept,,empathetic,أشعر أنني تائه قليلاً في هذه المدينة,122,2026-08-23T22:53:06Z
